Method,Accuracy Training,Accuracy Testing,F1 Score,Precision,Recall,Train Time (s)
Logistic Regression,0.9154929577464789,0.9203125,0.9291782485573915,0.9421560470779221,0.9203125,0.10911345481872559
Decision Tree,0.9960876369327074,0.99375,0.9937502215901081,0.9938701923076924,0.99375,0.0012404918670654297
Random Forest,0.9960876369327074,0.990625,0.9905909897414752,0.9907451923076923,0.990625,0.21712779998779297
Gradient Boosting,0.9960876369327074,0.9890625,0.9890246814822952,0.9892526549942595,0.9890625,1.2532992362976074
SVM,0.9784820031298904,0.9828125,0.9828104243671885,0.9829944404575743,0.9828125,0.06960701942443848
KNN,0.9937402190923318,0.9921875,0.9921574329259698,0.992335104588394,0.9921875,0.01562666893005371
Naive Bayes,0.985133020344288,0.9859375,0.9859003266056787,0.9859739451970103,0.9859375,0.0
Neural Network,0.9894366197183099,0.990625,0.9905962151157265,0.9907187671846451,0.990625,1.7909550666809082
AdaBoost,0.5915492957746479,0.5921875,0.46704443716311006,0.4071015515581232,0.5921875,0.16289758682250977
Bagging,0.9960876369327074,0.990625,0.9906225218460291,0.9907211538461539,0.990625,0.03982710838317871
Extra Trees,0.9960876369327074,0.990625,0.9905896438177489,0.9907872073921323,0.990625,0.15843844413757324
Voting Classifier,0.9878716744913928,0.9875,0.9875118821292774,0.9875355113636364,0.9875,0.3112525939941406
Stacking Classifier,0.9956964006259781,0.9921875,0.9921574329259698,0.992335104588394,0.9921875,1.701793909072876
Gaussian Process,0.9949139280125195,0.9875,0.9874326678002585,0.9876322846238891,0.9875,132.51151871681213
QDA,0.985133020344288,0.9890625,0.9890440934651392,0.9891254236443381,0.9890625,0.015677690505981445
LDA,0.7977308294209703,0.7984375,0.7937143200131838,0.801626051696464,0.7984375,0.015769243240356445
Hist Gradient Boosting,0.9960876369327074,0.9890625,0.9890246814822952,0.9892526549942595,0.9890625,2.153132677078247
Label Spreading,0.9960876369327074,0.9875,0.9874326678002585,0.9876322846238891,0.9875,0.7758893966674805
Label Propagation,0.9960876369327074,0.9875,0.9874326678002585,0.9876322846238891,0.9875,0.48258256912231445
Linear SVC,0.7695618153364632,0.771875,0.7079425914978251,0.6624594085791582,0.771875,0.009913206100463867
